Aadorp,Almelo,Overijssel
Aagtdorp,Bergen,NH
Aagtekerke,Veere,Zeeland
Aalbeek,Nuth,Limburg
Aalburg,Aalburg,NB
Aalden,Coevorden,Drenthe
Aaldonk,Gennep,Limburg
Aalsmeer,Aalsmeer,NH
Aalsmeerderbrug,Haarlemmermeer,NH
Aalst,Buren,GLD
Aalst,Waalre,NB
Aalst,Zaltbommel,GLD
Aalsum,Dongeradeel,Frysland
Aalsum,Zuidhorn,Groningen
Aalten,Aalten,GLD
Aalzum,Zuidhorn,Groningen
Aam,Overbetuwe,GLD
Aan de Zuwe,De Ronde Venen,Utrecht
Aanwas,Woensdrecht,NB
Aard,Rijnwaarden,GLD
Aardam,Nieuwkoop,ZH
Aardenburg,Sluis,Zeeland
Aarlanderveen,Alphen aan den Rijn,ZH
Aarle,Best,NB
Aarle-Rixtel,Laarbeek,NB
Aartswoud,Opmeer,NH
Aasterberg,Echt-Susteren,Limburg
Abbega,Wymbritseradiel,Frysland
Abbekerk,Medemblik,NH
Abbekerkeweere,Opmeer,NH
Abbenbroek,Bernisse,ZH
Abbenes,Haarlemmermeer,NH
Abbengawier,Boarnsterhim,Frysland
Abbeweer,Winsum,Groningen
Abcoude,Abcoude,Utrecht
Abdissenbosch,Landgraaf,Limburg
Abeltjeshuis,Vlagtwedde,Groningen
Absdale,Hulst,Zeeland
Abshoven,Sittard-Geleen,Limburg
Abtswoude,Delft,ZH
Achlum,Franekeradeel,Frysland
Acht,Eindhoven,NB
Achter t Hout,Aa en Hunze,Drenthe
Achter-Drempt,Bronckhorst,GLD
Achterberg,Rhenen,Utrecht
Achterbosch,Laarbeek,NB
Achterbroek,Bergambacht,ZH
Achterbroek,Someren,NB
Achterdiep,Hoogezand Sappemeer,Groningen
Achterdijk,Moerdijk,NB
Achtereind,Waalre,NB
Achterheurne,Aalten,GLD
Achterhoek,Hof van Twente,Overijssel
Achterhoek,Nijkerk,GLD
Achtermaten,Vlagtwedde,Groningen
Achterom,Hoogeveen,Drenthe
Achterste Erm,Coevorden,Drenthe
Achterveld,Barneveld,GLD
Achterveld,Leusden,Utrecht
Achterveld,Berkelland,GLD
Achthoven,IJsselstein,Utrecht
Achthoven,Leiderdorp,ZH
Achthoven,Montfoort,Utrecht
Achthuizen,Oostflakkee,ZH
Achtmaal,Zundert,NB
Achttienhoven,De Bilt,Utrecht
Achttienhoven,Nieuwkoop,ZH
Acquoy,Geldermalsen,GLD
Adorp,Winsum,Groningen
Adorpermeeden,Winsum,Groningen
Aduard,Zuidhorn,Groningen
Aduarderzijl,Winsum,Groningen
Aegum,Boarnsterhim,Frysland
Aekinga,Ooststellingwerf,Frysland
Aerdenhout,Bloemendaal,NH
Aerdt,Rijnwaarden,GLD
Afferden,Bergen,Limburg
Afferden,Druten,GLD
Agelo,Dinkelland,Overijssel
Aijen,Bergen,Limburg
Akersloot,Castricum,NH
Akkerwoude,Dantumadiel,Frysland
Akkerwoudsterbroek,Dantumadiel,Frysland
Akkrum,Boarnsterhim,Frysland
Akmarijp,Skarsterlan,Frysland
Akswijk,Zeevang,NH
Albergen,Tubbergen,Overijssel
Alblasserdam,Alblasserdam,ZH
Aldeboarn,Boarnsterhim,Frysland
